label,current,n_lines,C,nu_plus_GHz,nu_minus_GHz,D_GHz,E_GHz,splitting_MHz,splitting_unc_MHz,Gamma_GHz,r_squared,B_measured_mT,B_unc_mT
0A,0.0,2,0.06617758433505407,2.915320115998444,2.9023666955174394,2.908843405757942,0.006476710240502337,12.953420481004674,0.045741299561766334,0.010207835550729684,0.9903391061552423,0.0,0.0
0.100A,0.1,2,0.0636204910922005,2.915915477441523,2.9027847675506515,2.909350122496087,0.006565354945435642,13.130709890871284,0.058309811882363415,0.009983664321177907,0.9836089933775939,0.03836665716653129,0.008032117323479448
0.200A,0.2,2,0.05332118595258171,2.9189903219039968,2.8994488617436556,2.909219591823826,0.009770730080170598,19.541460160341195,0.08142801953568447,0.012663984940002386,0.978571682110776,0.26104174216420645,0.0020704515716685567
0.300A,0.3,2,0.035335573064506756,2.9234121351754525,2.8969036318029606,2.9101578834892066,0.013254251686245944,26.508503372491887,0.13205288111503174,0.019434230231934194,0.9740744429405357,0.4126336096422884,0.002738741257536235
0.400A,0.4,5,0.013424954434698084,2.9298922814406527,2.891194554183383,2.9105434178120175,0.01934886362863497,38.697727257269946,1585.7388473710405,0.0196488940058367,0.9534649791953361,0.6505863877110247,30.02347235013858
0.500A,0.5,6,0.018613514230854916,2.956187822576306,2.8662105062604395,2.911199164418373,0.04498865815793329,89.97731631586659,0.32156320864062016,0.011083944095682393,0.8820777475731303,1.5885820993608792,0.005798685230775214
0.600A,0.6,6,0.01676608538693201,2.9697239080191715,2.8580051418061565,2.913864524912664,0.05585938310650751,111.71876621301502,0.3621150296040467,0.012374238380255123,0.8628364262794311,1.979755078394983,0.006505138633682816
0.700A,0.7,6,0.014671972906416388,2.9806356005493,2.847814901636496,2.914225251092898,0.0664103494564019,132.82069891280378,0.4303389671039903,0.013050980412367045,0.8149730714829846,2.3583861666083163,0.007714958856672377
0.800A,0.8,6,0.0074719763168653065,2.9901874920783955,2.8340556538192363,2.912121572948816,0.07806591912957961,156.13183825915922,0.582432403464884,0.013958540436653745,0.6935542614761514,2.7759781006397106,0.010427470040160473
0.900A,0.9,6,0.004476249776928147,2.9984661876870224,2.8244918909226633,2.911479039304843,0.08698714838217958,173.97429676435917,0.564831336697739,0.0123846649619344,0.6285239181953357,3.0952970026496502,0.01010550930754302
